series_id,series_name,price_range,price_unit,online_date,cover_url
2989,帕萨特PHEV,21.71-24.21,万,2025-04-17,http://p3-dcd.byteimg.com/img/motor-mis-img/1304ba480eb5fec1b5059baef1a8762d~tplv-resize:640:0.png?psm=motor.car_page.go_api
3171,捷达VS5,8.79-12.19,万,2025-04-17,http://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/c375f1508b1e4ec6902a072796b540a2~tplv-resize:640:0.png?psm=motor.car_page.go_api
3159,红旗HS5,18.38-24.98,万,2025-04-17,http://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/ab8b7403cc8b4fb9a988e66dc53d5163~tplv-resize:640:0.png?psm=motor.car_page.go_api
6060,凯翼拾月,5.39-9.98,万,2025-04-16,http://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/d654726800a34ad197462e1a65864112~tplv-resize:640:0.png?psm=motor.car_page.go_api
9947,享界S9,30.98-44.98,万,2025-04-16,http://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/a4aa6010a2c24aa995aa79d02ddf3a8f~tplv-resize:640:0.png?psm=motor.car_page.go_api
25396,焜驰V级,89.90-89.90,万,2025-04-16,http://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/6b28ec54f2444a10a97e6a67907af6b3~tplv-resize:640:0.png?psm=motor.car_page.go_api
25397,焜驰威霆,65.80-65.80,万,2025-04-16,http://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/a30b88ccdff9487794a2ae073a87af9d~tplv-resize:640:0.png?psm=motor.car_page.go_api
5122,创维EV6,10.98-32.98,万,2025-04-16,http://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/ad946cfb7300451192fd711f0af4ded0~tplv-resize:640:0.png?psm=motor.car_page.go_api
5871,创维HT-i,8.98-31.68,万,2025-04-16,http://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/1f797a0102ab4d71ad0d47e960463d35~tplv-resize:640:0.png?psm=motor.car_page.go_api
8795,哈弗枭龙MAX,13.18-16.98,万,2025-04-16,http://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f8ab4d2210c1481f965043dd1d113a35~tplv-resize:640:0.png?psm=motor.car_page.go_api
9249,钛3,13.38-19.38,万,2025-04-16,http://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/3297d303d8874797b6d7fee4090f7ca6~tplv-resize:640:0.png?psm=motor.car_page.go_api
24850,问界M8,35.98-44.98,万,2025-04-16,http://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/5dd7baa13f2349d6adbab30c5f58e168~tplv-resize:640:0.png?psm=motor.car_page.go_api
6305,凯翼昆仑iHD,10.99-21.98,万,2025-04-15,http://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/b23daeb884224c29bfd6c1c82ba6db1e~tplv-resize:640:0.png?psm=motor.car_page.go_api
429,锐骐,7.78-11.58,万,2025-04-15,http://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/bc9585e4dd384cc3a0b3209e0932c083~tplv-resize:640:0.png?psm=motor.car_page.go_api
1277,沃尔沃XC90,63.89-78.19,万,2025-04-15,http://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/66ae9abdb81d46149c4b1879d47d0c2c~tplv-resize:640:0.png?psm=motor.car_page.go_api
6294,小鹏X9,35.98-41.98,万,2025-04-15,http://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/dea281f2400b459897787fc584c29832~tplv-resize:640:0.png?psm=motor.car_page.go_api
25172,ZEEKR 007GT,20.29-26.29,万,2025-04-15,http://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/138c8bd969f947a899b170fdbfde93dd~tplv-resize:640:0.png?psm=motor.car_page.go_api
10127,广汽本田P7,19.99-24.99,万,2025-04-15,http://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/037c3ff2631b4cb080f58c35d774be43~tplv-resize:640:0.png?psm=motor.car_page.go_api
1455,逸动,7.29-9.69,万,2025-04-15,http://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/539de6103bab4d678713a55c06cb9dce~tplv-resize:640:0.png?psm=motor.car_page.go_api
9346,捷途山海L9,16.49-23.89,万,2025-04-15,http://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/89517be1299f435a8be6fdadb179abcb~tplv-resize:640:0.png?psm=motor.car_page.go_api
4787,影豹,11.80-15.80,万,2025-04-15,http://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f7497d63f43a4cd18405d73636001342~tplv-resize:640:0.png?psm=motor.car_page.go_api
1276,沃尔沃XC90 PHEV,79.59-89.49,万,2025-04-15,http://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/3548052a10e54bf4adf4983b00e6b3c7~tplv-resize:640:0.png?psm=motor.car_page.go_api
6148,熊猫,2.99-5.39,万,2025-04-15,http://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/78ca006700884c30ad75d407f626e606~tplv-resize:640:0.png?psm=motor.car_page.go_api
25101,风景i,7.98-16.58,万,2025-04-14,http://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/5f686ed5e6d64f168aea5e628fe9ce75~tplv-resize:640:0.png?psm=motor.car_page.go_api
25282,电动MINI JCW ACEMAN,32.09-32.09,万,2025-04-14,http://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/87b832b880134a57b316053b2df419d5~tplv-resize:640:0.png?psm=motor.car_page.go_api
25281,电动MINI JCW,29.98-29.98,万,2025-04-14,http://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/fa80dd6e122e4327a527cde761d23f03~tplv-resize:640:0.png?psm=motor.car_page.go_api
8989,风神L7 PHEV,9.99-14.99,万,2025-04-13,http://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/810ea03ad55e4827938121276962fb85~tplv-resize:640:0.png?psm=motor.car_page.go_api
20136,风神L7 EV,9.49-13.99,万,2025-04-13,http://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/e773271af1cc41ac8699d6b9fb94a07f~tplv-resize:640:0.png?psm=motor.car_page.go_api
1277,沃尔沃XC90,63.89-78.19,万,2025-04-15,http://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/66ae9abdb81d46149c4b1879d47d0c2c~tplv-resize:640:0.png?psm=motor.car_page.go_api
10127,广汽本田P7,19.99-24.99,万,2025-04-15,http://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/037c3ff2631b4cb080f58c35d774be43~tplv-resize:640:0.png?psm=motor.car_page.go_api
9346,捷途山海L9,16.49-23.89,万,2025-04-15,http://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/89517be1299f435a8be6fdadb179abcb~tplv-resize:640:0.png?psm=motor.car_page.go_api
25101,风景i,7.98-16.58,万,2025-04-14,http://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/5f686ed5e6d64f168aea5e628fe9ce75~tplv-resize:640:0.png?psm=motor.car_page.go_api
25282,电动MINI JCW ACEMAN,32.09-32.09,万,2025-04-14,http://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/87b832b880134a57b316053b2df419d5~tplv-resize:640:0.png?psm=motor.car_page.go_api
25281,电动MINI JCW,29.98-29.98,万,2025-04-14,http://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/fa80dd6e122e4327a527cde761d23f03~tplv-resize:640:0.png?psm=motor.car_page.go_api
8989,风神L7 PHEV,9.99-14.99,万,2025-04-13,http://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/810ea03ad55e4827938121276962fb85~tplv-resize:640:0.png?psm=motor.car_page.go_api
20136,风神L7 EV,9.49-13.99,万,2025-04-13,http://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/e773271af1cc41ac8699d6b9fb94a07f~tplv-resize:640:0.png?psm=motor.car_page.go_api
25072,昊铂HL,26.98-31.98,万,2025-04-12,http://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/eb509904268d485cb759d1e61c3a5cae~tplv-resize:640:0.png?psm=motor.car_page.go_api
6366,大道,11.88-22.28,万,2025-04-12,http://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/332e1395ff7c40ebaf4f4b3a140e39d0~tplv-resize:640:0.png?psm=motor.car_page.go_api
10033,阿维塔 07,21.99-28.99,万,2025-04-12,http://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/8b7d620a07494ec4a54bbd467b1aa2da~tplv-resize:640:0.png?psm=motor.car_page.go_api
991,揽胜,141.20-379.50,万,2025-04-11,http://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/08ce9dde46f64638aa4df622ce69b497~tplv-resize:640:0.png?psm=motor.car_page.go_api
992,揽胜运动版,95.00-243.80,万,2025-04-11,http://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/02e71c9b87164762bf559c052a580fa9~tplv-resize:640:0.png?psm=motor.car_page.go_api
3332,炮,9.98-25.98,万,2025-04-11,http://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/e61b02b7d74d4cfa823759627cb978f1~tplv-resize:640:0.png?psm=motor.car_page.go_api
9683,长安X5 PLUS,8.99-11.09,万,2025-04-11,http://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/a67d72e0704d499e809a4f122f928fb4~tplv-resize:640:0.png?psm=motor.car_page.go_api
2972,睿行EM80,7.49-19.28,万,2025-04-11,http://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/c97d86aaca3742749f23052cd0f4cd85~tplv-resize:640:0.png?psm=motor.car_page.go_api
1977,探歌,15.89-17.87,万,2025-04-11,http://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/854d92c324144a8baf7f4a1229768f5e~tplv-resize:640:0.png?psm=motor.car_page.go_api
5188,VGV U75PLUS,11.79-18.68,万,2025-04-11,http://p9-dcd.byteimg.com/img/motor-mis-img/c30c48c306250df3a43cadc2f2de9613~tplv-resize:640:0.png?psm=motor.car_page.go_api
215,奔驰GLA,29.99-34.69,万,2025-03-31,http://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/e7b3c594dd59465fa7a66c057a5901ed~tplv-resize:640:0.png?psm=motor.car_page.go_api
3928,奔驰GLB,31.19-36.79,万,2025-03-31,http://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/05ab32d0a1b6462fa97ed1ecb0b2b183~tplv-resize:640:0.png?psm=motor.car_page.go_api
5931,金海狮M,5.09-5.99,万,2025-03-31,http://p9-dcd.byteimg.com/img/motor-mis-img/8ed33c7db8309b7f662944970513fe30~tplv-resize:640:0.png?psm=motor.car_page.go_api
9006,鑫源T3L EV,7.99-14.58,万,2025-03-31,http://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/062e44f9f66f41859425b8c65ef4513c~tplv-resize:640:0.png?psm=motor.car_page.go_api
6343,好运,6.99-8.98,万,2025-03-31,http://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/97b9e3a5a7024624b526b5da66f18040~tplv-resize:640:0.png?psm=motor.car_page.go_api
25148,乐福,9.50-16.58,万,2025-03-31,http://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/22cbf81ff3af46cdb4efff8ed8a92f6c~tplv-resize:640:0.png?psm=motor.car_page.go_api
4311,炫界,6.39-9.49,万,2025-03-31,http://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/707e10337c2c41e89187efb0c2931b31~tplv-resize:640:0.png?psm=motor.car_page.go_api
25071,传祺向往S7,17.58-22.98,万,2025-03-30,http://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/9eeb41c01bba477faf6fd12605c696b0~tplv-resize:640:0.png?psm=motor.car_page.go_api
9346,捷途山海L9,16.49-23.89,万,2025-03-28,http://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/89517be1299f435a8be6fdadb179abcb~tplv-resize:640:0.png?psm=motor.car_page.go_api
6056,凯翼昆仑,9.89-15.99,万,2025-03-28,http://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/2e9b4807525e49c98142a0af0b91b878~tplv-resize:640:0.png?psm=motor.car_page.go_api
5859,长安Lumin,3.79-6.99,万,2025-03-28,http://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/ce6c0eedd9c6421c94ef984285239d44~tplv-resize:640:0.png?psm=motor.car_page.go_api
5082,捷途X90 PLUS,10.19-13.19,万,2025-03-28,http://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/eb3bdb7e45f344fdbbc7eafa143de19a~tplv-resize:640:0.png?psm=motor.car_page.go_api
5306,深蓝SL03,11.99-16.39,万,2025-03-28,http://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/941ff7aacb454240beedcaab5617960c~tplv-resize:640:0.png?psm=motor.car_page.go_api
131,宝马2系(进口),27.29-43.59,万,2025-03-28,http://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/5735a7e46aba410983ebee3b9e5c3706~tplv-resize:640:0.png?psm=motor.car_page.go_api
716,黄海·蛟龙,9.28-12.88,万,2025-03-28,http://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/643ea355186f4c21a318f6a9c04cddac~tplv-resize:640:0.png?psm=motor.car_page.go_api
9194,黄海·蛟龙 EV,21.98-22.98,万,2025-03-28,http://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/a4db706b2d1142839e3f659734ba31b6~tplv-resize:640:0.png?psm=motor.car_page.go_api
1213,新途V80,9.58-23.96,万,2025-03-28,http://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/278e1533a8774685bb9e0c3b96bc4ca1~tplv-resize:640:0.png?psm=motor.car_page.go_api
25095,仰望U7 PHEV,62.80-70.80,万,2025-03-27,http://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f023f71da94e410592a1275069eed92b~tplv-resize:640:0.png?psm=motor.car_page.go_api
2850,捷途X95,17.38-17.68,万,2025-03-27,http://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/70b2afa92600431fb538904b54ebf4e3~tplv-resize:640:0.png?psm=motor.car_page.go_api
24925,星途揽月C-DM,20.99-23.39,万,2025-03-27,http://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/5c3cb36f0c944a518645e30dd128e071~tplv-resize:640:0.png?psm=motor.car_page.go_api
5563,捷途旅行者,13.99-23.99,万,2025-03-27,http://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/a4c5373170314e3e93ccc6dae5b7963d~tplv-resize:640:0.png?psm=motor.car_page.go_api
9324,仰望U7 EV,62.80-70.80,万,2025-03-27,http://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/fcbf4c2c6b6d4c8781f90e2b8249e32c~tplv-resize:640:0.png?psm=motor.car_page.go_api
24919,悦意03,9.79-12.29,万,2025-03-27,http://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/8f986edd0db947ea8f88324734f1ce1f~tplv-resize:640:0.png?psm=motor.car_page.go_api
25336,菱势黄金仓PLUS,9.78-13.98,万,2025-03-26,http://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/5c24bcbdc8794765959565c7681bbae9~tplv-resize:640:0.png?psm=motor.car_page.go_api
10271,勇士皮卡,12.78-13.98,万,2025-03-26,http://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/d45ccb89358044daa066dfb9bbd0810a~tplv-resize:640:0.png?psm=motor.car_page.go_api
25335,予风黄金仓PLUS,9.78-13.98,万,2025-03-26,http://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/206979588ed548c38eee7853b27a633e~tplv-resize:640:0.png?psm=motor.car_page.go_api
6020,雷达地平线,13.68-22.18,万,2025-03-26,http://p3-dcd.byteimg.com/img/motor-mis-img/93dea7d11fb03b3cd22c93d08d691d3b~tplv-resize:640:0.png?psm=motor.car_page.go_api
205,勇士,10.68-15.98,万,2025-03-26,http://p3-dcd.byteimg.com/img/motor-mis-img/dcf664514941d152d7c6466649b34f29~tplv-resize:640:0.png?psm=motor.car_page.go_api
9324,仰望U7 EV,62.80-70.80,万,2025-03-27,http://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/fcbf4c2c6b6d4c8781f90e2b8249e32c~tplv-resize:640:0.png?psm=motor.car_page.go_api
24919,悦意03,9.79-12.29,万,2025-03-27,http://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/8f986edd0db947ea8f88324734f1ce1f~tplv-resize:640:0.png?psm=motor.car_page.go_api
5563,捷途旅行者,13.99-23.99,万,2025-03-27,http://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/a4c5373170314e3e93ccc6dae5b7963d~tplv-resize:640:0.png?psm=motor.car_page.go_api
25336,菱势黄金仓PLUS,9.78-13.98,万,2025-03-26,http://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/5c24bcbdc8794765959565c7681bbae9~tplv-resize:640:0.png?psm=motor.car_page.go_api
10271,勇士皮卡,12.78-13.98,万,2025-03-26,http://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/d45ccb89358044daa066dfb9bbd0810a~tplv-resize:640:0.png?psm=motor.car_page.go_api
25335,予风黄金仓PLUS,9.78-13.98,万,2025-03-26,http://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/206979588ed548c38eee7853b27a633e~tplv-resize:640:0.png?psm=motor.car_page.go_api
6020,雷达地平线,13.68-22.18,万,2025-03-26,http://p9-dcd.byteimg.com/img/motor-mis-img/93dea7d11fb03b3cd22c93d08d691d3b~tplv-resize:640:0.png?psm=motor.car_page.go_api
205,勇士,10.68-15.98,万,2025-03-26,http://p3-dcd.byteimg.com/img/motor-mis-img/dcf664514941d152d7c6466649b34f29~tplv-resize:640:0.png?psm=motor.car_page.go_api
8834,阿维塔 12,26.99-70.00,万,2025-03-25,http://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f124a6c86a674d138cdc312c50047ba4~tplv-resize:640:0.png?psm=motor.car_page.go_api
353,别克GL8,23.29-47.39,万,2025-03-25,http://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/101a350c342f4960866dd96f321cacb8~tplv-resize:640:0.png?psm=motor.car_page.go_api
3030,锐骐6,9.18-14.59,万,2025-03-25,http://p9-dcd.byteimg.com/img/motor-mis-img/f8de7891b0fa75b3114ab605188e4cb5~tplv-resize:640:0.png?psm=motor.car_page.go_api
220,奔驰CLA,30.92-39.40,万,2025-03-25,http://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/23ed3d3404fa4da2bff78ea144a8cda4~tplv-resize:640:0.png?psm=motor.car_page.go_api
1475,欧诺S,4.69-5.44,万,2025-03-25,http://p3-dcd.byteimg.com/img/motor-mis-img/dbacf2bc8424c00a4805c3713d449f7d~tplv-resize:640:0.png?psm=motor.car_page.go_api
20135,MG ES5,11.69-19.69,万,2025-03-25,http://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/55fa728d5fb94bd395db6a5bbf6241d6~tplv-resize:640:0.png?psm=motor.car_page.go_api
25139,海狮05EV,11.78-13.78,万,2025-03-25,http://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/a1e7a25db465482d97f57c3153fad07b~tplv-resize:640:0.png?psm=motor.car_page.go_api
25328,红旗国悦REEV,70.68-71.18,万,2025-03-25,http://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/807f9009b4bb4db197ec5b0d1b04003c~tplv-resize:640:0.png?psm=motor.car_page.go_api
2975,缤越,6.68-10.38,万,2025-03-25,http://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/1546bce3c7764e6b9a895274b29a019f~tplv-resize:640:0.png?psm=motor.car_page.go_api
